Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00     14.74     0.00      100     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00     14.74     0.00      100     0.00     0.00  std::vector<int, std::allocator<int> >::end() const
  0.00     14.74     0.00      100     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00     14.74     0.00      100     0.00     0.00  std::vector<int, std::allocator<int> >::begin() const
  0.00     14.74     0.00      100     0.00     0.00  std::vector<int, std::allocator<int> >::capacity() const
  0.00     14.74     0.00      100     0.00     0.07  std::vector<int, std::allocator<int> >::max_size() const
  0.00     14.74     0.00      100     0.00     0.00  std::allocator<int>::allocator()
  0.00     14.74     0.00      100     0.00     0.00  std::allocator<int>::~allocator()
  0.00     14.74     0.00      100     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00     14.74     0.00      100     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
  0.00     14.74     0.00      100     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl()
  0.00     14.74     0.00      100     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00     14.74     0.00      100     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_Vector_impl_data()
  0.00     14.74     0.00      100     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base()
  0.00     14.74     0.00      100     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00     14.74     0.00      100     0.00     0.00  std::allocator_traits<std::allocator<int> >::deallocate(std::allocator<int>&, int*, unsigned long)
  0.00     14.74     0.00      100     0.00     0.00  std::allocator_traits<std::allocator<int> >::allocate(std::allocator<int>&, unsigned long)
  0.00     14.74     0.00      100     0.00     0.00  std::allocator_traits<std::allocator<int> >::max_size(std::allocator<int> const&)
  0.00     14.74     0.00      100     0.00     0.07  std::vector<int, std::allocator<int> >::_S_max_size(std::allocator<int> const&)
  0.00     14.74     0.00      100     0.00     0.00  std::vector<int, std::allocator<int> >::_S_relocate(int*, int*, int*, std::allocator<int>&)
  0.00     14.74     0.00      100     0.00     0.00  std::vector<int, std::allocator<int> >::_S_do_relocate(int*, int*, int*, std::allocator<int>&, std::integral_constant<bool, true>)
  0.00     14.74     0.00      100     0.00     0.07  std::vector<int, std::allocator<int> >::reserve(unsigned long)
  0.00     14.74     0.00      100     0.00     0.00  std::vector<int, std::allocator<int> >::vector()
  0.00     14.74     0.00      100     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00     14.74     0.00      100     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(unsigned long, char, std::allocator<char> const&)
  0.00     14.74     0.00      100     0.00     0.00  std::__cxx11::to_string(unsigned long)
  0.00     14.74     0.00      100     0.00     0.00  unsigned int std::__detail::__to_chars_len<unsigned long>(unsigned long, int)
